Date, Close/Last, Volume, Open, High, Low
01/13/2020, $91.08, 7382968, $90.62, $91.715, $90.21
01/10/2020, $90.16, 7098085, $90.8, $90.89, $89.63
01/09/2020, $90.53, 9450166, $90.25, $91.16, $90.07
01/08/2020, $88.88, 7297235, $87.94, $89.35, $87.78
01/07/2020, $87.86, 6533541, $87.96, $88.03, $87.13
01/06/2020, $88.13, 5409850, $88.11, $88.41, $87.47
01/03/2020, $88.83, 4874916, $88.66, $89.1, $88.1
01/02/2020, $89.35, 6475843, $88.12, $89.35, $88.05
12/31/2019, $87.92, 4116734, $87.44, $87.99, $87.31
12/30/2019, $87.44, 4656289, $88.01, $88.2, $87.06
12/27/2019, $88.13, 4130878, $88.11, $88.46, $87.69
12/26/2019, $88.075, 4180261, $88.73, $88.76, $87.79
12/24/2019, $88.52, 1847770, $88.2, $88.5977, $88
12/23/2019, $88.23, 4349884, $88.62, $88.85, $88.175
12/20/2019, $88.46, 14271660, $88.785, $89, $87.89
12/19/2019, $88.52, 6023454, $87.83, $88.585, $87.58
12/18/2019, $87.99, 5859211, $88.39, $88.85, $87.815
12/17/2019, $88.13, 7297423, $88.87, $88.97, $87.47
12/16/2019, $88.78, 6706045, $89.14, $89.3, $88.43
12/13/2019, $88.67, 6718109, $88.02, $88.7897, $87.58
12/12/2019, $88.21, 10293870, $88, $88.8868, $87.54
12/11/2019, $86.59, 4922698, $86.26, $86.8699, $85.85
12/10/2019, $86.04, 7945126, $86.5, $87.465, $85.91
12/09/2019, $86.28, 7170822, $86.31, $86.63, $85.96
12/06/2019, $86.32, 8501814, $85.03, $86.53, $85.03
12/05/2019, $84.45, 5171388, $85.44, $85.4826, $84.32
12/04/2019, $85.4, 5940602, $85.13, $85.54, $84.7048
12/03/2019, $84.82, 6077628, $84.03, $85, $83.8213
12/02/2019, $84.57, 6428428, $85.38, $85.77, $83.82
11/29/2019, $85.43, 3857027, $85.91, $86.73, $85.25
11/27/2019, $85.77, 7506564, $84.85, $85.81, $84.42
11/26/2019, $84.56, 7652316, $84.13, $84.65, $84
11/25/2019, $83.75, 5450981, $83.16, $84, $82.93
11/22/2019, $83.02, 6080782, $82.69, $83.39, $82.66
11/21/2019, $82.3, 8300483, $83.75, $84.04, $81.762
11/20/2019, $83.6, 6251318, $83.54, $84.49, $82.98
11/19/2019, $83.66, 6010423, $84.06, $84.28, $83.5708
11/18/2019, $84.02, 6433068, $83.92, $84.11, $83.2505
11/15/2019, $84.21, 7537205, $84.68, $84.94, $83.57
11/14/2019, $84.38, 5287433, $84.1, $84.52, $83.8
11/13/2019, $83.94, 7439003, $83.29, $84.29, $83.2
11/12/2019, $83.32, 8552693, $82.69, $83.976, $82.605
11/11/2019, $82.43, 5832575, $81.75, $82.5312, $81.37
11/08/2019, $81.77, 7088064, $82.19, $82.64, $81.45
11/07/2019, $81.95, 7221382, $83.06, $83.29, $81.84
11/06/2019, $82.99, 6365267, $82.08, $83.37, $82
11/05/2019, $81.89, 7054400, $82.34, $82.34, $81.0301
11/04/2019, $82.37, 8271187, $83.3, $83.435, $81.9
11/01/2019, $83.21, 10658470, $84.79, $85.31, $82.61
10/31/2019, $84.56, 14008810, $86.71, $87.22, $83.28
10/30/2019, $84.19, 8731291, $84.61, $84.7, $83.32
10/29/2019, $84.13, 5699093, $83.81, $84.63, $83.64
10/28/2019, $83.6, 6653357, $84.47, $84.98, $83.36
10/25/2019, $83.38, 5235296, $83.21, $83.565, $82.63
10/24/2019, $83.18, 4632619, $82.8, $83.53, $82.6605
10/23/2019, $82.74, 7186615, $84.31, $84.41, $82.1262
10/22/2019, $83.46, 5806608, $85.23, $85.35, $83.39
10/21/2019, $85.35, 5007111, $86, $86.24, $85.0801
10/18/2019, $86.03, 4631218, $86.35, $86.75, $85.52
10/17/2019, $86.29, 4397738, $86.88, $87.02, $86.16
10/16/2019, $86.71, 3706830, $86.53, $86.83, $86.045
10/15/2019, $86.45, 4722624, $87, $87.25, $85.76
10/14/2019, $86.62, 4936604, $86.5, $87.68, $86.4
